file_path,transcript,mfcc_features
data\ASI\ASI\wav\arctic_a0015.wav,It's the aurora borealis,"[[-6.0401245e+02  9.6605560e+01  2.6496338e+01 ... -4.7359553e-01
  -4.9380951e+00 -6.5172634e+00]
 [-6.4534369e+02  7.7608200e+01  5.5061954e+01 ...  1.9029835e+00
   4.7564902e+00  5.5423079e+00]
 [-6.3640613e+02  8.6148804e+01  5.4549076e+01 ...  5.5849423e+00
   4.0921926e+00  3.8094335e+00]
 ...
 [-6.3982410e+02  7.5540092e+01  3.8827335e+01 ...  1.1003962e+01
   2.9765153e+00 -3.8020332e+00]
 [-6.4539795e+02  7.1924561e+01  4.2088966e+01 ...  1.3692024e+01
   4.6889238e+00 -3.7344589e+00]
 [-6.4243054e+02  7.5824936e+01  4.5786655e+01 ... -9.0443861e-01
  -5.2952023e+00 -8.0724163e+00]]"
data\ASI\ASI\wav\arctic_a0016.wav,There's Fort Churchill a rifle shot beyond the ridge asleep,"[[-6.5447772e+02  9.0048691e+01  3.0582283e+01 ... -1.2100497e+01
  -9.5370693e+00 -6.9755192e+00]
 [-6.5819489e+02  9.2065666e+01  4.3848183e+01 ...  4.8776178e+00
   1.2084782e+00 -8.3645897e+00]
 [-6.4295538e+02  8.3143562e+01  1.7553110e+01 ... -9.4419250e+00
  -2.1264224e+00 -2.1088829e+00]
 ...
 [-6.1135425e+02  6.0851471e+01  2.4531853e+01 ... -2.2600062e+00
   5.9511952e+00  5.1973028e+00]
 [-6.2089471e+02  6.5959732e+01  3.8182663e+01 ... -2.8785944e-01
  -5.6881766e+00 -9.1823429e-02]
 [-6.3630756e+02  6.4666512e+01  4.6770187e+01 ... -9.5750418e+00
  -5.9400892e+00  2.1358948e+00]]"
data\ASI\ASI\wav\arctic_a0017.wav,From that moment his friendship for Belize turns to hatred and jealousy,"[[-6.7277039e+02  6.8336334e+01  5.3376022e+01 ... -6.1457052e+00
  -5.7163944e+00 -1.1527721e+01]
 [-6.6458142e+02  6.2537674e+01  3.9210709e+01 ...  4.1250134e+00
   1.6162649e+00 -1.5257157e-01]
 [-6.6019196e+02  6.9676697e+01  5.3188129e+01 ...  1.0779789e+01
   7.5556383e+00  2.7488625e+00]
 ...
 [-6.3023767e+02  8.5565033e+01  3.2720013e+01 ...  5.9919057e+00
  -2.2904189e+00 -3.9809203e+00]
 [-6.5112378e+02  8.8699173e+01  3.8758911e+01 ...  4.4705019e+00
  -4.4249883e+00 -5.2075315e+00]
 [-6.6359344e+02  8.3585587e+01  3.9460224e+01 ... -3.3878040e+00
  -4.5902019e+00  8.7882996e+00]]"
data\ASI\ASI\wav\arctic_a0018.wav,There was a change now,"[[-654.5938      77.51012     48.547127  ...    5.8035946    3.1353765
     1.4092493]
 [-651.9106      82.1586      54.535217  ...    7.471096     7.961745
     5.53116  ]
 [-656.0632      76.45276     48.706005  ...    9.4024515    5.8491325
     2.4205475]
 ...
 [-637.0437      86.96065     37.31654   ...   -5.4889956   -2.9304357
    -2.1361058]
 [-635.827       83.91806     35.07248   ...    8.008673     2.1509762
    -2.426196 ]
 [-650.5012      74.80769     35.761658  ...   -5.330662    -4.233491
     2.3859072]]"
data\ASI\ASI\wav\arctic_a0019.wav,I followed the line of the proposed railroad looking for chances,"[[-6.5843878e+02  9.5034637e+01  3.9301037e+01 ... -5.8490402e-01
  -9.5085847e-01  2.7442641e+00]
 [-6.6843365e+02  9.1841141e+01  4.6794746e+01 ...  1.7392244e+01
   1.0783012e+01  9.2867589e-01]
 [-6.7031342e+02  9.1161781e+01  4.4997070e+01 ... -1.3443810e+00
   2.8739159e+00  5.1598725e+00]
 ...
 [-5.8386829e+02  5.8672256e+01  1.8318573e+01 ...  6.8557401e+00
  -2.2329792e-01  1.5288913e+00]
 [-5.9215973e+02  5.9088272e+01  1.5407684e+01 ...  8.1310844e+00
  -9.3653793e+00 -7.8691978e+00]
 [-5.8364752e+02  5.6011063e+01  1.9183334e+01 ...  2.1103039e+01
  -6.5230474e+00 -1.5387589e+01]]"
data\ASI\ASI\wav\arctic_a0020.wav,Clubs and balls and cities grew to be only memories,"[[-615.6525      72.40457      8.656426  ...  -14.662899     3.2917233
    13.552647 ]
 [-619.8428      78.55132     20.009777  ...   -7.0408897    9.386311
    11.773596 ]
 [-639.5415      72.80127     27.090225  ...    1.2028308   -2.4501963
    -3.8979812]
 ...
 [-610.31323     82.716385    33.440807  ...    4.852067     3.2729816
    -1.8942835]
 [-624.6571      76.12189     30.915249  ...    8.5035515   -1.1254971
    -3.390553 ]
 [-633.3741      72.209435    39.51723   ...   -1.3441824    3.592173
     1.8383508]]"
data\ASI\ASI\wav\arctic_a0021.wav,It fairly clubbed me into recognizing it,"[[-648.59686     86.59366     36.94262   ...   -3.1587815   -1.1040101
     3.5946188]
 [-640.61475     92.99396     39.360123  ...   11.3888      11.268611
     3.4027565]
 [-645.06116     92.06379     38.51722   ...   -9.244339    -4.654379
     1.4155543]
 ...
 [-644.50165     90.94208     36.72267   ...    3.7606096   -3.0501542
     1.4051828]
 [-637.82947     96.5481      35.2837    ...    5.339369    -2.2932615
     3.2612877]
 [-659.35724     79.61888     40.397865  ...   -1.7253534   -5.8862495
     5.0187244]]"
data\ASI\ASI\wav\arctic_a0022.wav,Hardly were our plans made public before we were met by powerful opposition,"[[-6.27849670e+02  9.03898468e+01  2.65872879e+01 ...  1.07289619e+01
   1.38702106e+01  1.79121375e-01]
 [-6.55143005e+02  8.45558624e+01  3.94000549e+01 ...  1.20108700e+01
  -2.65205765e+00 -7.27505875e+00]
 [-6.61447632e+02  8.22346420e+01  4.66668167e+01 ... -6.21992302e+00
  -4.98968887e+00  1.37347245e+00]
 ...
 [-6.31787231e+02  1.01399414e+02  4.17759323e+01 ...  1.70965350e+00
  -9.99538708e+00 -2.59648871e+00]
 [-6.47974426e+02  8.60565643e+01  3.74764175e+01 ...  4.03840637e+00
  -1.14913261e+00  5.69015312e+00]
 [-6.40227661e+02  8.96782227e+01  2.95104809e+01 ... -4.92923546e+00
  -1.28631077e+01 -3.20870924e+00]]"
data\ASI\ASI\wav\arctic_a0023.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges,"[[-6.5699677e+02  1.2401256e+02  5.8857971e+01 ...  3.4395680e-01
   1.1909099e+00  1.8647046e+00]
 [-6.2522229e+02  1.4277943e+02  5.1733711e+01 ...  5.9419441e+00
   1.0187311e+00 -4.0361691e+00]
 [-6.5064606e+02  1.1681227e+02  3.7600647e+01 ...  6.7899961e+00
  -5.7995410e+00 -6.0843649e+00]
 ...
 [-6.4796338e+02  8.6627411e+01  2.9833786e+01 ...  6.4848766e+00
   2.3028111e+00  4.4943118e-01]
 [-6.6673145e+02  8.1628181e+01  2.9969151e+01 ...  9.1467180e+00
   8.0222673e+00  9.3834133e+00]
 [-6.7365338e+02  8.2585556e+01  3.8780807e+01 ... -5.1786652e+00
   4.6231236e+00  1.3433700e+00]]"
data\ASI\ASI\wav\arctic_a0024.wav,It was my reports from the north which chiefly induced people to buy,"[[-6.6979535e+02  7.6084763e+01  4.0008518e+01 ... -4.7071590e+00
  -1.2975078e+00 -5.7484808e+00]
 [-6.4869873e+02  8.7855316e+01  4.7824665e+01 ... -1.9004239e+00
  -6.0765135e-01 -5.1938658e+00]
 [-6.5563660e+02  8.3879486e+01  4.4780449e+01 ...  4.0917864e+00
   5.9520264e+00 -4.7188978e+00]
 ...
 [-6.7519635e+02  7.4035843e+01  3.1754669e+01 ...  8.8093033e+00
   1.8833642e+00  7.0592031e+00]
 [-6.7240753e+02  8.1457321e+01  4.2802193e+01 ...  1.0534855e+01
  -3.4506936e+00 -1.0730591e+00]
 [-6.8155603e+02  7.9565735e+01  4.8242874e+01 ...  3.1403961e+00
   2.9104745e+00 -3.7432960e-01]]"
data\ASI\ASI\wav\arctic_a0025.wav,I was about to do this when cooler judgment prevailed,"[[-6.8375769e+02  5.9872093e+01  2.6763643e+01 ...  5.1763530e+00
   3.1778417e+00 -8.3063841e-01]
 [-6.7085791e+02  7.8986938e+01  4.7122932e+01 ...  3.1692421e-01
  -2.7760382e+00 -1.2244999e+00]
 [-6.6833148e+02  7.7827499e+01  3.8347298e+01 ...  6.8083010e+00
   6.5054655e-01  1.7130480e+00]
 ...
 [-6.4450043e+02  9.1333389e+01  3.4205063e+01 ...  6.8525562e+00
  -7.4607372e-01  4.3410772e-01]
 [-6.7020038e+02  7.2322174e+01  3.4471680e+01 ...  5.6216121e-02
   9.2004478e-01  1.4150672e+00]
 [-6.3992871e+02  9.1466339e+01  3.2737473e+01 ...  7.3206449e+00
   7.0132928e+00  1.5027640e+00]]"
data\ASI\ASI\wav\arctic_a0026.wav,It occurred to me that there would have to be an accounting,"[[-6.82000000e+02  8.97319946e+01  2.26104794e+01 ...  1.36710024e+01
   1.63073578e+01  1.17076149e+01]
 [-6.75325562e+02  1.11818481e+02  5.04614143e+01 ...  6.72314072e+00
   9.94728470e+00  5.32353449e+00]
 [-6.81129456e+02  1.10103416e+02  5.88158188e+01 ...  1.12123513e+00
  -3.01211238e-01  4.43626499e+00]
 ...
 [-6.68959167e+02  9.07819214e+01  4.20336761e+01 ... -2.21745872e+00
  -9.85097313e+00  4.79115629e+00]
 [-6.63608826e+02  9.88921051e+01  4.41942673e+01 ...  6.63953424e-02
  -1.60080414e+01 -3.28244686e+00]
 [-6.64912537e+02  1.00316895e+02  4.05290489e+01 ... -1.06054771e+00
  -5.36512756e+00  8.02052116e+00]]"
data\ASI\ASI\wav\arctic_a0027.wav,To my surprise he began to show actual enthusiasm in my favor,"[[-6.6948547e+02  7.8032043e+01  2.8413876e+01 ...  1.8973683e+00
   4.9556999e+00  5.6893525e+00]
 [-6.6285266e+02  9.1952499e+01  5.1489441e+01 ...  1.0566275e+00
  -2.2519079e-01 -7.2719443e-01]
 [-6.5739465e+02  8.6250610e+01  4.4838894e+01 ...  1.0299699e+00
   7.6475439e+00  1.2754681e+01]
 ...
 [-6.6967285e+02  9.3405640e+01  4.8498409e+01 ...  1.0797045e+01
   4.5949297e+00 -5.6909788e-01]
 [-6.6391638e+02  9.6600128e+01  4.5371689e+01 ...  6.8145242e+00
   2.5091784e+00  5.2434940e+00]
 [-6.7269092e+02  7.8839989e+01  3.1971134e+01 ...  1.3025594e+01
   7.3761401e+00  6.7184057e+00]]"
data\ASI\ASI\wav\arctic_a0028.wav,Robbery bribery fraud,"[[-6.4350616e+02  6.9166466e+01  4.3125511e+01 ...  1.6212210e-01
  -1.2186485e+01 -9.4376860e+00]
 [-6.2999036e+02  7.6595245e+01  4.2364845e+01 ...  4.6396890e+00
  -7.1199017e+00 -6.8736348e+00]
 [-6.2742163e+02  8.1817108e+01  4.6206432e+01 ...  4.0751171e+00
  -1.7452785e+00  2.4796743e+00]
 ...
 [-6.4375507e+02  7.4979340e+01  4.8550644e+01 ... -4.2307835e+00
  -7.1918154e-01  5.8562508e+00]
 [-6.5851068e+02  6.0266781e+01  4.1380577e+01 ...  1.0092063e+01
   6.2344151e+00  5.0879908e+00]
 [-6.5262085e+02  6.5528992e+01  3.8681099e+01 ...  4.8113718e+00
   3.9833033e+00  2.4798098e+00]]"
data\ASI\ASI\wav\arctic_a0029.wav,Their forces were already moving into the north country,"[[-627.32263     63.24318     34.1595    ...    1.8160617    1.2424505
    -4.502923 ]
 [-629.491       67.644455    40.45343   ...   10.85426      2.2892768
    -5.0569725]
 [-627.7413      76.0681      46.529892  ...   16.63292     10.1982
     3.3625827]
 ...
 [-629.25604     67.106926    42.875618  ...    8.5577545    5.314916
     8.051833 ]
 [-619.32196     75.7695      41.590973  ...    9.479446     5.395795
     6.974991 ]
 [-629.058       67.86595     38.029675  ...   19.456348    10.40703
     3.178349 ]]"
data\ASI\ASI\wav\arctic_a0030.wav,I had faith in them,"[[-6.37695496e+02  1.12129875e+02  3.08187218e+01 ...  1.19579811e+01
   5.06152821e+00  2.80534178e-02]
 [-6.42255615e+02  9.45159760e+01  3.22598648e+01 ...  1.74206877e+00
  -1.60471535e+00  2.44656324e+00]
 [-6.26364319e+02  9.99133987e+01  2.32068443e+01 ...  1.88628502e+01
   4.24032068e+00 -1.39960279e+01]
 ...
 [-6.51808533e+02  8.94092941e+01  3.14578152e+01 ... -1.28572102e+01
  -1.08783274e+01  1.19475594e+01]
 [-6.58847534e+02  9.28471375e+01  3.23949814e+01 ... -1.32870507e+00
  -8.59658062e-01  1.73544273e+01]
 [-6.37927856e+02  8.66743927e+01  9.48443031e+00 ... -4.36499023e+00
  -3.46594810e+00  9.41967869e+00]]"
data\ASI\ASI\wav\arctic_a0031.wav,They were three hundred yards apart,"[[-5.9575732e+02  1.1716800e+02  5.4899643e+01 ... -5.9262209e+00
  -5.0551434e+00  1.4543617e+00]
 [-6.0707062e+02  1.1477139e+02  7.7281494e+01 ...  5.8194942e+00
  -7.9081430e+00 -6.7643232e+00]
 [-5.9926117e+02  1.2227678e+02  7.3574532e+01 ...  6.9984665e+00
  -1.0272009e+01 -1.3068802e+01]
 ...
 [-6.2425061e+02  8.7484390e+01  3.7610100e+01 ...  1.2912344e+00
  -3.2860460e+00  3.7436035e+00]
 [-6.3291949e+02  7.3943802e+01  2.8554090e+01 ... -8.3519497e+00
  -7.7040043e+00 -1.2320852e-01]
 [-6.2816443e+02  8.0758583e+01  2.8341112e+01 ...  3.3943939e+00
  -2.5792127e+00 -5.6358643e+00]]"
data\ASI\ASI\wav\arctic_a0032.wav,Since then some mysterious force has been fighting us at every step,"[[-6.5265564e+02  5.7624069e+01  3.8842407e+01 ... -3.6061118e+00
  -6.0254450e+00 -7.0056219e+00]
 [-6.4467883e+02  6.5838921e+01  4.2144905e+01 ...  7.3959880e+00
   3.9614997e+00  2.1409482e-01]
 [-6.3711426e+02  6.9268631e+01  3.7608276e+01 ...  2.2745154e+00
  -9.8899066e-01 -3.5839005e+00]
 ...
 [-6.3608759e+02  7.1160614e+01  3.7994415e+01 ...  2.4153063e+00
  -1.5799005e+00  1.3197383e+00]
 [-6.4331927e+02  6.2945827e+01  3.3382973e+01 ...  6.0894184e+00
  -1.3959848e+00 -3.8985703e+00]
 [-6.2748499e+02  8.1218788e+01  4.3474392e+01 ...  9.6306734e+00
   2.4661486e+00 -1.0366751e+00]]"
data\ASI\ASI\wav\arctic_a0033.wav,He unfolded a long typewritten letter and handed it to Gregson,"[[-6.54860962e+02  9.47665863e+01  1.02293625e+01 ...  1.17810130e-01
  -1.42228365e-01 -2.32741241e+01]
 [-6.50695862e+02  1.00775330e+02  2.68445854e+01 ...  6.99304628e+00
   2.86813569e+00 -3.63161039e+00]
 [-6.38354187e+02  1.07275597e+02  2.94349041e+01 ...  2.82490873e+00
  -8.97884846e-01  1.31803644e+00]
 ...
 [-6.41976013e+02  1.15101791e+02  4.79811325e+01 ...  9.50469494e+00
  -4.00288725e+00  1.45841484e+01]
 [-6.40183533e+02  1.09783264e+02  3.95466461e+01 ...  1.11509142e+01
  -1.88848019e+01  5.02351618e+00]
 [-6.12561340e+02  9.95545273e+01  2.35788231e+01 ...  9.53222394e-01
  -9.82151222e+00  3.49968886e+00]]"
data\ASI\ASI\wav\arctic_a0034.wav,Men of Selden's stamp don't stop at women and children,"[[-6.24237549e+02  1.04394714e+02  9.07099152e+00 ... -3.93705297e+00
   4.80135441e+00  1.29136600e+01]
 [-6.60659485e+02  9.99848557e+01  2.32645149e+01 ... -7.08941889e+00
  -1.61697407e+01 -4.59056139e+00]
 [-6.72895752e+02  9.65351562e+01  2.36234894e+01 ...  9.25368309e+00
  -9.60602188e+00 -1.17949467e+01]
 ...
 [-6.34554565e+02  6.94370804e+01  3.66540489e+01 ... -2.45424104e+00
  -8.08837318e+00  1.29749203e+00]
 [-6.30310913e+02  7.93926697e+01  3.85667648e+01 ...  6.36660290e+00
  -1.15754497e+00  1.89103889e+00]
 [-6.30912109e+02  8.51444855e+01  4.05358315e+01 ...  4.65834427e+00
   2.65364456e+00 -5.41757345e-01]]"
data\ASI\ASI\wav\arctic_a0035.wav,He stopped and Philip nodded at the horrified question in his eyes,"[[-6.8022180e+02  8.2207870e+01  4.3079742e+01 ...  1.5751371e+01
   1.5498233e+01  6.4469557e+00]
 [-6.7989093e+02  8.8110718e+01  5.6608543e+01 ...  1.1859402e+01
   1.2543100e+01  1.0637371e+01]
 [-6.6895319e+02  9.7351189e+01  5.3953381e+01 ...  2.4322157e+00
   1.6366947e+00  8.0760107e+00]
 ...
 [-6.6837250e+02  9.2286850e+01  4.4481419e+01 ...  2.4926168e-01
  -4.7007780e+00 -2.5732989e+00]
 [-6.7585974e+02  8.8946365e+01  5.1103405e+01 ...  4.3863201e+00
   2.1259072e+00  1.2376418e+00]
 [-6.7160321e+02  8.4066040e+01  3.4666241e+01 ...  1.5151810e+01
   1.2946715e+01  2.0555391e+00]]"
